Station_ID,Region,Latitude,Longitude,Soil_Moisture_Pct,Ground_Displacement_mm,Rainfall_Rate_mm_hr,SAR_Backscatter_dB,NDVI_Index,Risk_Level
ISRO_STN_007,North-East Hills,33.0141,89.2068,29.9,0.32,0.86,-13.56,0.868,Critical
ISRO_STN_020,Western Ghats,27.4831,94.3762,23.33,-4.07,0.58,-12.58,0.834,Low
ISRO_STN_015,Coastal Plains,9.2986,92.8634,61.87,6.46,0.41,-8.03,0.464,Low
ISRO_STN_011,Himalayan Region,29.1009,95.9711,56.35,0.73,5.74,-5.89,0.271,High
ISRO_STN_008,Himalayan Region,30.3544,90.0427,57.49,11.66,3.1,-16.76,0.245,Low
ISRO_STN_021,Coastal Plains,28.2636,80.8267,27.17,-3.5,6.93,-9.42,0.302,High
ISRO_STN_007,North-East Hills,29.5875,77.0466,27.45,-0.43,2.31,-10.18,0.66,Critical
ISRO_STN_019,Himalayan Region,30.2786,77.3015,26.56,9.75,1.6,-16.81,0.327,Moderate
ISRO_STN_023,North-East Hills,13.0329,89.0083,23.03,7.1,0.15,-15.47,0.379,Moderate
ISRO_STN_011,Himalayan Region,14.3637,89.6293,59.18,-3.7,2.78,-14.05,0.461,Low
ISRO_STN_011,Himalayan Region,25.1115,73.8104,73.6,12.72,2.18,-16.11,0.814,High
ISRO_STN_024,Central Plateau,32.5124,93.1756,64.32,12.72,11.57,-15.01,0.264,Low
ISRO_STN_021,Himalayan Region,16.5373,88.7328,69.41,1.67,0.68,-14.67,0.124,Moderate
ISRO_STN_004,Western Ghats,23.8843,84.3198,40.36,1.88,1.89,-13.7,0.166,High
ISRO_STN_008,Coastal Plains,26.4405,81.6744,59.06,14.98,2.63,-7.78,0.808,Critical
ISRO_STN_024,Coastal Plains,20.2026,83.7538,36.57,7.65,2.59,-10.32,0.612,Moderate
ISRO_STN_003,North-East Hills,27.2721,72.6181,49.41,5.73,2.06,-4.4,0.328,Low
ISRO_STN_022,Himalayan Region,32.291,73.9073,46.12,11.93,3.75,-12.57,0.255,Critical
ISRO_STN_021,Western Ghats,24.8507,70.6438,23.27,0.76,0.57,-7.72,0.344,Moderate
ISRO_STN_002,North-East Hills,22.5741,72.4561,39.03,3.67,3.23,-6.04,0.207,High
ISRO_STN_024,Central Plateau,19.8461,81.1571,82.29,0.41,2.42,-8.79,0.836,Moderate
ISRO_STN_012,North-East Hills,23.5921,83.3803,28.64,10.94,5.66,-12.61,0.716,Low
ISRO_STN_006,North-East Hills,17.5948,68.518,20.04,6.58,4.7,-7.72,0.471,Low
ISRO_STN_002,Himalayan Region,18.57,91.1071,41.39,8.31,0.95,-15.59,0.777,Low
ISRO_STN_021,Central Plateau,22.3602,76.5309,69.28,0.1,0.81,-13.82,0.31,Moderate
ISRO_STN_001,North-East Hills,9.7987,94.4432,53.66,-0.55,10.0,-10.68,0.665,Low
ISRO_STN_012,Western Ghats,14.1837,96.0578,61.07,4.87,1.87,-10.27,0.771,Low
ISRO_STN_022,Western Ghats,22.6569,73.3783,24.23,9.9,5.92,-18.18,0.391,Low
ISRO_STN_012,Coastal Plains,19.6513,81.4008,56.42,5.61,0.45,-4.98,0.696,Moderate
